time,direction,price,volume,reward,win_by_exit,commission,terminate
2017-07-13 21:22:00+08:00,BULL,4825,7,-35,0,35,0
2017-07-13 21:23:00+08:00,BEAR,4825,7,-35,0,70,0
2017-07-13 21:25:00+08:00,BULL,4740,7,-35,0,105,0
2017-07-13 21:26:00+08:00,BULL,4770,7,-35,0,140,0
2017-07-13 21:28:00+08:00,BULL,4770,6,-30,0,170,0
2017-07-13 21:50:00+08:00,BEAR,4755,20,-1000,-900,270,0
2017-07-13 21:52:00+08:00,BULL,4765,7,-35,-900,305,0
2017-07-13 21:53:00+08:00,BEAR,4770,7,315,-550,340,0
2017-07-13 21:55:00+08:00,BULL,4780,7,-35,-550,375,0
2017-07-13 21:57:00+08:00,BULL,4785,7,-35,-550,410,0
2017-07-13 21:58:00+08:00,BEAR,4780,14,-420,-900,480,0
2017-07-13 22:00:00+08:00,BULL,4780,7,-35,-900,515,0
2017-07-13 22:01:00+08:00,BEAR,4775,7,-385,-1250,550,0
2017-07-13 22:05:00+08:00,BULL,4785,7,-35,-1250,585,0
2017-07-13 22:06:00+08:00,BULL,4780,7,-35,-1250,620,0
2017-07-13 22:07:00+08:00,BULL,4780,6,-30,-1250,650,0
2017-07-13 22:08:00+08:00,BEAR,4780,7,-385,-1600,685,0
2017-07-13 22:09:00+08:00,BULL,4780,7,-35,-1600,720,0
2017-07-13 22:11:00+08:00,BEAR,4780,7,-35,-1600,755,0
2017-07-13 22:12:00+08:00,BEAR,4780,7,-35,-1600,790,0
2017-07-13 22:13:00+08:00,BEAR,4785,6,270,-1300,820,0
2017-07-13 22:14:00+08:00,BULL,4790,7,-35,-1300,855,0
2017-07-13 22:15:00+08:00,BEAR,4775,7,-1085,-2350,890,0
2017-07-13 22:18:00+08:00,BULL,4775,7,-35,-2350,925,0
2017-07-13 22:19:00+08:00,BEAR,4765,7,-735,-3050,960,0
2017-07-13 22:23:00+08:00,BULL,4780,7,-35,-3050,995,0
2017-07-13 22:24:00+08:00,BEAR,4770,7,-735,-3750,1030,0
2017-07-13 22:26:00+08:00,BULL,4790,7,-35,-3750,1065,0
2017-07-13 22:27:00+08:00,BEAR,4795,7,315,-3400,1100,0
2017-07-13 22:28:00+08:00,BULL,4790,7,-35,-3400,1135,0
2017-07-13 22:29:00+08:00,BULL,4790,7,-35,-3400,1170,0
2017-07-13 22:30:00+08:00,BULL,4795,5,-25,-3400,1195,0
2017-07-13 22:43:00+08:00,BEAR,4780,7,-735,-4100,1230,0
2017-07-13 22:44:00+08:00,BEAR,4780,12,-1510,-5550,1290,0
2017-07-13 22:45:00+08:00,BULL,4785,7,-35,-5550,1325,0
2017-07-13 22:46:00+08:00,BULL,4785,7,-35,-5550,1360,0
2017-07-13 22:47:00+08:00,BULL,4780,5,-25,-5550,1385,0
2017-07-13 22:52:00+08:00,BEAR,4765,19,-3645,-9100,1480,0
2017-07-13 22:54:00+08:00,BULL,4755,6,-30,-9100,1510,0
2017-07-13 22:55:00+08:00,BULL,4760,6,-30,-9100,1540,0
2017-07-13 22:56:00+08:00,BULL,4765,6,-30,-9100,1570,0
2017-07-13 22:58:00+08:00,BEAR,4760,18,-90,-9100,1660,0
2017-07-13 23:03:00+08:00,BULL,4780,6,-30,-9100,1690,0
2017-07-13 23:04:00+08:00,BULL,4790,6,-30,-9100,1720,0
2017-07-13 23:05:00+08:00,BULL,4790,6,-30,-9100,1750,0
2017-07-13 23:08:00+08:00,BEAR,4775,18,-2190,-11200,1840,0
2017-07-13 23:15:00+08:00,BULL,4800,6,-30,-11200,1870,0
2017-07-13 23:16:00+08:00,BULL,4795,6,-30,-11200,1900,0
2017-07-13 23:17:00+08:00,BULL,4795,6,-30,-11200,1930,0
2017-07-14 09:01:00+08:00,BEAR,4780,18,-3090,-14200,2020,0
2017-07-14 09:03:00+08:00,BULL,4780,6,-30,-14200,2050,0
2017-07-14 09:04:00+08:00,BULL,4775,6,-30,-14200,2080,0
2017-07-14 09:05:00+08:00,BULL,4760,5,-25,-14200,2105,0
2017-07-14 09:08:00+08:00,BEAR,4765,17,-1335,-15450,2190,0
2017-07-14 09:10:00+08:00,BEAR,4765,6,-30,-15450,2220,0
2017-07-14 09:11:00+08:00,BULL,4775,6,-630,-16050,2250,0
2017-07-14 09:16:00+08:00,BULL,4775,6,-30,-16050,2280,0
2017-07-14 09:17:00+08:00,BULL,4775,6,-30,-16050,2310,0
2017-07-14 09:18:00+08:00,BEAR,4765,12,-1260,-17250,2370,0
2017-07-14 09:23:00+08:00,BULL,4770,6,-30,-17250,2400,0
2017-07-14 09:24:00+08:00,BULL,4770,6,-30,-17250,2430,0
2017-07-14 09:25:00+08:00,BULL,4775,4,-20,-17250,2450,0
2017-07-14 09:54:00+08:00,BEAR,4750,16,-3480,-20650,2530,0
2017-07-14 10:00:00+08:00,BULL,4755,6,-30,-20650,2560,0
